,시도교육청,폐교명,폐교연도,지역교육청,급별,활용현황,주소,위도,경도
0,서울,공진중학교,2020,강서양천,중,미활용,서울특별시 강서구 가양동 1476,37.5663502,126.8525524
1,서울,염강초등학교,2020,강서양천,초,미활용,서울특별시 강서구 가양동 1492,37.5663502,126.8525524
7,부산,반여초등학교,2020,해운대,초,미활용,부산광역시 해운대구 반여동 1594-73,35.19882155,129.13523261233632
14,부산,가락중학교,2022,북부,중,미활용,부산광역시 강서구 죽림동 1090,37.502171399999995,127.11831591779108
19,부산,눌차초등학교,2011,북부,초,미활용,부산광역시 강서구 눌차동 587,35.068569749999995,128.84117325869283
25,부산,서곡초등학교,2022,동래,초,미활용,부산광역시 금정구 서동 134-13,35.21649,129.1033187
28,부산,좌성초등학교,2021,남부,초,미활용,부산광역시 동구 범일동 1400,35.13408,129.0612
50,인천,길상초 선택분교,2001,강화,초,미활용,인천광역시 인천광역시 길상면 선두리 962-3,37.6024929901792,126.488996864965
57,인천,서도중 볼음분교,2018,강화,중,미활용,인천광역시 인천광역시 서도면 볼음도리596-1,37.6715714998189,126.188592417027
63,인천,인천남중 북도분교,1999,남부,중,미활용,인천광역시 인천광역시 북도면 신도리 628,37.5245662604464,126.43624680715
75,대전,진잠초 방성분교장,1995,서부,초,미활용,대전광역시 유성구 성북동 188-1,36.2973386751457,127.295160108922
77,울산,검단분교,2020,해당없음,초,미활용,울산광역시 울주군 웅촌면 검단리 603-3,35.45761145,129.17765923173738
82,울산,동해분교,1999,해당없음,초,미활용,울산광역시 북구 당사동 465-2,36.0234081036828,129.50317177821
86,울산,미호분교,1993,해당없음,초,미활용,울산광역시 울주군 두서면 미호리 610,35.6861161802584,129.164407826086
88,울산,삼광분교,1999,해당없음,초,미활용,울산광역시 울주군 온양읍 삼광리 657-1,35.4397467883336,129.22802231558967
100,경기,목동초등학교,1999,가평,초,미활용,경기도 가평군 북면 목동리919,36.334347550000004,127.40853176915522
104,경기,삼송초등학교,2014,고양,초,미활용,경기도 고양시 삼송동 62,37.65184,126.88971
108,경기,가납초 현암분교장,1991,동두천양주,초,미활용,경기도 양주시 광적면 비암리 231-4,37.80991534472764,126.92884291459086
123,경기,금주초등학교,2022,포천,초,미활용,경기도 포천시 영중면 금주리 522-1,37.9734689512661,127.26062500987
127,경기,냉정초등학교,1990,포천,초,미활용,경기도 포천시 관인면 냉정리 339,37.357686900000004,126.73487161819386
132,경기,덕산초 대장분교장,2021,부천,초,미활용,경기도 부천시 대장동 196-1,37.5412958,126.7808606
134,경기,동두천초 걸산분교장,1999,동두천양주,초,미활용,경기도 동두천시 걸산동 50-8,37.9264583,127.1049803
139,경기,목동초 도대분교장,1995,가평,초,미활용,경기도 가평군 북면 도대리 139-4,37.9244001500694,127.490939681256
145,경기,법원초등학교,2019,파주,초,미활용,경기도 파주시 법원읍 법원리 500,37.8565075228026,126.878436436709
162,경기,서신초제부분교장,2020,화성오산,초,미활용,경기도 화성시 서신면 제부리 23-1,37.1701260139316,126.626316552962
165,경기,신산초 영장분교장,1994,파주,초,미활용,경기도 파주시 광탄면 영장리 256-1,37.7764860737481,126.908002851471
169,경기,양동초 삼산분교장,2001,양평,초,미활용,경기도 양평군 양동면 삼산리 632-11,37.40473121034061,127.77043319398435
182,경기,영평초등학교,2022,포천,초,미활용,경기도 포천시 영중면 영평리 240,38.016023849999996,127.21707603606772
188,경기,유양초 천성분교장,1991,동두천양주,초,미활용,경기도 양주시 유양동 725,37.787489,127.0280603
200,경기,점동초 안평분교장,2009,여주,초,미활용,경기도 여주시 점동면 장안리 478,37.2031941861321,127.711212513145
204,경기,진가초모가분교장,2010,이천,초,미활용,경기도 이천시 모가면 신갈리165-2,37.202448792381,127.448372098742
208,경기,청운초 갈운분교장,2000,양평,초,미활용,경기도 양평군 청운면 갈운리 472,37.5414325991013,127.767704355598
212,경기,청평초 회곡분교장,1994,가평,초,미활용,경기도 가평군 설악면 회곡리 528,37.7047767118411,127.448138735202
227,강원,계촌초 방의분교장,1994,평창,초,미활용,강원도 평창군 방림면 계촌리 2290,37.4665644,128.3134436
233,강원,귀래초 귀운분교장,2016,원주,초,미활용,강원도 원주시 귀래면 귀래리 1343,37.2243789647066,127.863703675257
235,강원,근덕초 노곡분교장,2016,삼척,초,미활용,강원도 삼척시 노곡면 하월산리 162-3,37.347561200099,129.163716437382
236,강원,근덕초 동막분교장,2018,삼척,초,미활용,강원도 삼척시 근덕면 동막리 381,37.338852800685466,129.24342351373912
237,강원,근덕초 마읍분교장,2016,삼척,초,미활용,강원도 삼척시 노곡면 중마읍리 102,37.2696832290735,129.178258014765
245,강원,남천초등학교장,2008,속초양양,초,미활용,강원도 양양군 현북면 도리19,38.0777773464954,128.627449093264
247,강원,내덕초등학교,2000,영월,초,미활용,강원도 영월군 상동읍 내덕리 227-2,36.6560903848779,127.495163533462
248,강원,내촌초 동창분교장,2021,홍천,초,미활용,강원도 홍천군 내촌면 동창로 143,37.7821396,128.1583256
256,강원,다수초등학교,1999,평창,초,미활용,강원도 평창군 평창읍 다수리 304,36.1258681160638,128.076339017003
260,강원,도계초 동덕분교장,2007,삼척,초,미활용,강원도 삼척시 도계읍 상덕리 89-1,37.207715982178414,129.07862779391493
