시도교육청,폐교명,폐교연도,지역교육청,급별,활용현황,주소
서울,공진중,2020,강서양천,중,미활용,서울특별시 강서구 가양동 1476
서울,염강초,2020,강서양천,초,미활용,서울특별시 강서구 가양동 1492
부산,(구)경남여자중학교,2009,남부,중,자체활용,부산광역시 동구 수정5동 563
부산,(구)다대초등학교,2007,서부,초,자체활용,부산광역시 사하구 다대동 1140-1
부산,(구)디자인고등학교,2010,남부,고,자체활용,부산광역시 동구 초량동 1167
부산,(구)명지초등학교,2016,북부,초,자체활용,부산광역시 강서구 명지동 1336
부산,(구)반송중학교,2020,해운대,중,자체활용,부산광역시 해운대구 반송동 250-2696
부산,(구)반여초,2020,해운대,초,미활용,부산광역시 해운대구 반여동 1594-73
부산,(구)부산개성중학교,2005,남부,중,자체활용,부산광역시 부산진구 부전2동 389-25
부산,(구)부산중앙중학교,2012,남부,중,자체활용,부산광역시 부산진구 전포1동 682
부산,(구)송정초등학교,2017,북부,초,자체활용,부산광역시 강서구 송정동 1437-19
부산,(구)연포초등학교,2019,남부,초,자체활용,부산광역시 남구 대연동 1788-2
부산,(구)일광초등학교,2020,해운대,초,자체활용,부산광역시 기장군 일광면 화전리 111
부산,(구)정관초등학교,2010,해운대,초,자체활용,부산광역시 기장군 정관면 방곡리 412
부산,가락중,2022,북부,중,미활용,부산광역시 강서구 죽림동 1090
부산,가락초해포분교장,2004,북부,초,자체활용,부산광역시 강서구 봉림동 738-1714
부산,감정초등학교,2019,서부,초,자체활용,부산광역시 사하구 감천동 10-2
부산,기장중철마분교장,1993,해운대,중,자체활용,부산광역시 기장군 철마면 연구리 594
부산,낙동여자중학교,1998,북부,중,자체활용,부산광역시 강서구 대저1동 421-3
부산,눌차초등학교,2011,북부,초,미활용,부산광역시 강서구 눌차동 587
부산,덕도초등학교,2019,북부,초,자체활용,부산광역시 강서구 강동동 2273-1
부산,덕천여자중학교,2022,북부,중,자체활용,부산광역시 북구 덕천동 485-1
부산,동삼중학교,2019,서부,중,자체활용,부산광역시 영도구  동삼동 331-41
부산,사상중학교,2009,북부,중,자체활용,부산광역시 사상구 덕포동 150-1
부산,삼락초등학교,2000,북부,초,자체활용,부산광역시 사상구 삼락동 365-8
부산,서곡초,2022,동래,초,미활용,부산광역시 금정구 서동 134-13
부산,윤산중학교,2013,동래,중,대부,부산광역시 금정구 금사동 505
부산,일광초학리분교장,2006,해운대,초,자체활용,부산광역시 기장군 일광면 삼성리  717-5
부산,좌성초,2021,남부,초,미활용,부산광역시 동구 범일동 1400
부산,중앙초등학교,2008,남부,초,자체활용,부산광역시 동구 수정동 363-4
부산,천가초장항분교장,2001,북부,초,미활용,부산광역시 강서구 성북동 1290
부산,천가초천성분교장,2011,북부,초,자체활용,부산광역시 강서구 천성동 813
부산,회동초등학교,2018,동래,초,자체활용,부산광역시 금정구 회동동 143-1
대구,가창초우록분교,2007,달성,초,대부,대구광역시 달성군 가창면 삼산리 795
대구,감삼중,2011,남부,중,자체활용,대구광역시 달서구 감삼동 198-4
대구,경운초감삼분교,1996,서부,초,자체활용,대구광역시 서구 내당동 467-2
대구,남도여중,1999,남부,중,자체활용,대구광역시 남구 대명동 1819-37
대구,대구남중,2012,남부,중,자체활용,대구광역시 달서구 성당동 434-1
대구,대동초,2017,서부,초,자체활용,대구광역시 북구 산격동 1285
대구,도남초,2000,서부,초,자체활용,대구광역시 북구 국우동 90-1
대구,복명초,1998,동부,초,자체활용,대구광역시 중구 남산동 630
대구,복현중,2017,서부,중,자체활용,대구광역시 북구 복현동 301-17
대구,본리중,2016,남부,중,자체활용,대구광역시 달서구 본리동 333-1
대구,서진중,2018,서부,중,자체활용,대구광역시 서구 평리동 550
대구,성서중,1999,남부,중,자체활용,대구광역시 달서구 장기동 48
대구,신암중,2017,동부,중,자체활용,대구광역시 동구 신암동 75
대구,유가초,2016,달성,초,자체활용,대구광역시 달성군 유가읍 유곡리 978
대구,유가초한정분교,2007,달성,초,대부,대구광역시 달성군 유가면 한정리 224-1
대구,죽전중,2020,남부,중,대부,대구광역시 달서구 죽전동 176
대구,평광초,1994,동부,초,대부,대구광역시 동구 평광동 1096
인천,길상초 선택분교,2001,강화,초,미활용,인천광역시 인천광역시 길상면 선두리 962-3
인천,길상초초지분교,2002,강화,초,대부,인천광역시 인천광역시 길상면 초지리 1140-4
인천,난정초,2019,강화,초,자체활용,인천광역시 인천광역시 교동면 난정리 1282
인천,내리초,1999,남부,초,대부,인천광역시 인천광역시 영흥면 내리 61
인천,대청중소청분교,1998,남부,중,자체활용,인천광역시 인천광역시 대청면 소청리 454-1
인천,마리산초,1999,강화,초,대부,인천광역시 인천광역시 화도면 덕포리 1212
인천,삼산초 서검분교,2000,강화,초,미활용,인천광역시 인천광역시 삼산면 서검도리 산52-1
인천,서도중 볼음분교,2018,강화,중,미활용,인천광역시 인천광역시 서도면 볼음도리596-1
인천,서도초 볼음분교,2018,강화,초,미활용,인천광역시 인천광역시 서도면 볼음도리596-1
인천,양당초,1999,강화,초,대부,인천광역시 인천광역시 송해면 양오리 632-4
인천,양사초서사분교,1998,강화,초,자체활용,인천광역시 인천광역시 양사면 교산리 363-1
인천,영흥초선재분교,2015,남부,초,자체활용,인천광역시 인천광역시 영흥면 선재리 3
